Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.245411771,7.625979038,11.63815132,11.86747622,9.232693676,11.43709717,11.69893586,11.08362924,,,
Africa Western and Central,AFW,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.254237452,9.440195495,9.551516559,10.22495697,8.912898844,9.440072184,10.1754099,11.63032854,13.32358872,,,
Albania,ALB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.657387035,8.131712403,7.929912627,7.731827396,7.424009856,8.430987117,8.747228007,9.018649224,9.150812529,9.078414342,9.069007604,8.846493724
Andorra,AND,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70872196,11.95733492,12.595602,12.99330602,12.54038773,12.51845981,12.85400357,13.15153338,12.87117503,12.16109654,12.43010313,12.30817859,11.82607141
Argentina,ARG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.249772637,8.810333996,8.8583563,8.582696383,8.547026646,7.235033597,6.868159025,7.247532531,10.15604604,10.88239485,10.47695644,9.714927225,9.781349977,8.713356623,9.91211619,12.66123807,
Armenia,ARM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.40533221,,17.75258016,14.94372725,13.52963154,12.64094063,11.62916697,11.85845016,12.95150142,12.76061993,12.5027652,11.85864014,11.50392753,
American Samoa,ASM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048830195,3.911394175,3.947441467,3.874130879,5.454990267,6.475966798,
Australia,AUS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.939000894,4.750926448,4.504280766,4.19912384,4.703003961,4.620216621,4.696845311,4.755578892,4.6724976,4.697003355,5.317317597,5.443972571,5.912719061,5.91854177,6.198626318,6.374322504,6.169337637
Austria,AUT,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23981735,6.484498557,6.284054714,6.976800325,7.492756256,7.186052759,7.770113643,7.985940154,6.841915759,7.446891279,7.334234175,7.541992275,7.707002394,7.949258695,,
Azerbaijan,AZE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.70575083,13.19402706,14.27227217,14.52249714,13.44803047,13.45261723,13.82867177,12.17411758,,,,
Belgium,BEL,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.861858608,3.041758243,4.297509482,3.883539334,4.526172211,5.025882607,4.921181449,5.33174062,5.784435591,5.378204188,5.68502315,5.873341612,6.343371744,6.3376914,6.230568778,6.2521915,
Benin,BEN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.005422147,6.187028585,6.561022571,6.1838901,5.724726566,5.710724828,5.246190924,4.74201086,5.168285407,4.774469259,
Bulgaria,BGR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.556336265,10.84215703,10.46769435,10.76469818,10.09607269,10.35152032,11.56687828,12.01590157,11.62960744,11.3934048,10.82327218,11.59431785,11.88220234,
Bahrain,BHR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.43923226,14.52765561,14.93297444,11.79346186,10.73723086,9.729605822,9.736886268,8.817806517,9.204046994,9.697892,10.27702458,10.6136133,10.93374909,11.53760904,10.66636135,10.07751411,10.86116344,10.67598981,10.43046011,10.78633141,10.47051139,
Belarus,BLR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09651872,12.02254894,10.98353852,10.17698211,9.677665803,9.93939164,10.58597824,11.49544172,11.48124321,11.546392,11.36815582,12.14013719
Belize,BLZ,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.685394809,7.535116725,7.677174222,7.485489844,7.145160036,7.037981132,7.324574713,6.639422303,6.728789852,6.879918309,6.810235391,
Brazil,BRA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01819029,10.23935234,10.25402459,10.54964377,11.94856367,10.2993784,10.08254023,10.14898276,10.14738363,9.764840634,8.829532331,9.097209157,9.412537632,9.427411453,9.32997279,9.713094439,
Barbados,BRB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2893273,10.50278495,8.234736162,7.63757387,10.21925801,10.37317488
Brunei Darussalam,BRN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.711809979,9.158632295,8.072658592,6.793522831,9.510513066,9.778816557,10.95111112,11.07156277,9.502491598,11.08494948,11.15648948,11.94681051,10.08064102
Bhutan,BTN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.182229966,8.091008176,12.08105185,16.96436397,17.4978622,16.61127649,17.6113939,15.44890886,12.97109772,13.73652938,12.17622989,,
Botswana,BWA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.060784106,8.38265228,9.111412699,8.524321018,8.440349226,8.766129725,8.919526864,8.910813048,9.191130838,8.625836704
Central African Republic,CAF,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38447138,13.15233188,14.1280772,19.08733795,19.15935707,18.060414,16.08992511,17.69450039,15.07937984,15.92026861,13.81746142,
Canada,CAN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.509042651,4.581669936,4.223043662,4.04616021,4.756239823,4.76631114,4.876715559,4.619829731,4.302714108,4.478387678,4.552485407,4.651172025,4.794724776,4.786251794,4.701981292,4.555929236,
Central Europe and the Baltics,CEB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.083313005,4.875254531,4.553716602,4.83682253,5.551293197,5.401414334,5.547869309,5.502581743,6.129226961,6.85289679,7.290806005,7.120629092,8.017107114,8.300509839,8.587986314,8.125866337,
Channel Islands,CHI,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.659922702,8.049664845,8.003711988,7.465239095,7.101018149,6.793880061,7.11730883,6.433604543,6.847640026,8.284741635,7.771346627,8.006478182,8.126357338,7.971122632,7.574985814,8.41033272,8.443154541,8.419976622,7.515975795,6.861189226,
China,CHN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.860707508,7.066187604,6.872235211,7.088408067,7.377942227,7.571381848,7.54175994,
