Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5607499,18.12377198,13.34157559,16.74157289,18.00289673,17.61757266,19.35570521,15.6795501,17.54598279,14.68782468,15.9302751,18.18874493,18.65512612,15.65052264,18.18097627,20.51085908,21.63051857,18.47174017,20.10611088,18.566681,19.1683841
Afghanistan,AFG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90995452,17.0167002,33.51616705,37.01698759,34.65872703,67.45983259,65.71570109,60.06361513,73.75483313,70.7065554,83.07985766,97.84893552,70.76263963,69.57862642,86.88746718,
Africa Western and Central,AFW,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65192288,16.75896207,17.33761178,17.37911927,19.28233175,18.60440173,20.51118188,17.90791546,19.54381152,20.23541453,20.12706872,17.98412263,24.17750463,20.41900023,23.0248902,16.55045558,14.58544433,18.05689049,17.70075813,16.28215486,16.58165446
Angola,AGO,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00029061,19.7141083,23.61714932,28.42941397,41.79260115,36.45489841,47.76457217,37.06525064,37.44774109,48.55612717,38.51060228,32.96017935,32.03529476,35.24616125,34.2831586,31.20286193,32.13955539,28.20636603,32.04525479,35.07119262,55.71814111
Albania,ALB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.17969662,26.52430673,28.05449814,27.45911209,23.69498562,21.15081967,18.23749404,15.88085212,14.39432818,14.56792976,13.47817033,13.41164207,13.89347189,13.61330659,18.08360844,18.05108248,17.36724557,17.8285792,15.21553473,19.68037238,18.42990758
Andorra,AND,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75694352,10.52509134,9.824348741,13.43972329,12.02377526,12.61219846,19.0674407,17.79596684,20.18761219,20.64159233,14.53739394,14.12955246,15.04044954,16.18111473,17.66614777,14.4293869,15.93934047,14.81544736,16.01096805,14.61073145,16.02192096
United Arab Emirates,ARE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71464867,9.566314192,9.695319114,11.08861105,9.464345438,9.466906382,28.94278984,9.730449052,12.60847331,13.8135889,13.15859507,14.15066232,14.99695069,14.70276194,16.98740681,14.4293869,15.93934047,14.81544736,15.22725031,14.6088466,16.02192096
Argentina,ARG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.447667299,12.74888263,12.24710308,12.7915992,29.0950623,35.29523896,28.28657974,16.74265415,23.68090319,17.14790025,20.43296031,16.83229516,24.1844887,20.47432584,22.00480175,22.31790193,19.71894691,19.56426848,18.8138258,18.27875597,24.47825986
American Samoa,ASM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.797627606,7.851582899,8.927185759,9.500896501,7.414420229,8.05625286,6.331041186,6.078789052,5.482482001,7.430626819,8.519246316,10.11757586,12.37865025,16.54928687,17.71406848,17.37476034,13.41151551,13.63014737,14.41136667,13.20751708,19.48710477
Australia,AUS,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.196880766,1.030818135,0.849434517,0.728924298,0.755812335,0.608766379,0.922033931,1.536216203,0.686605226,0.510214186,0.492176094,0.466271572,1.213187377,1.057941151,1.002905585,0.952285065,1.015501206,1.02149048,1.490224656,4.253643493,16.47284875
Austria,AUT,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42560569,11.33141719,12.00061627,31.81623074,21.00030465,31.12565689,17.36974892,11.83393665,7.775674029,10.25097036,12.05799441,10.05831729,7.223021849,7.509675757,12.82224769,37.93715649,30.52960152,26.57782913,23.40823469,26.1986102,28.152646
Burundi,BDI,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.555149944,3.716770285,4.236112597,7.429714161,18.03834666,16.27127669,12.26425678,13.88231061,17.57994977,12.76066658,6.369791258,11.2827998,11.78622044,14.56689631,11.33562017,18.4202788,26.90997249,19.17343169,21.83139547,18.66498667,
Belgium,BEL,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2293773,22.68396909,17.33761178,17.37911927,14.30134634,11.23813256,14.3458937,17.1927781,13.691289,11.93120328,7.587233515,5.848507397,5.038182364,5.344850219,6.007560791,5.331949222,6.995234825,4.490278677,4.606836431,9.003214244,9.526597579
